_id,geometry,ogc_fid0,fid,m_id,link_p,sector,dev_pro,pro_note,pro_dev,cap_inv_m,cap_inv,nat_pro,job_creat,sta_oper,pro_dur,land_a,dir_name,nat,eia_rep,eia_l,com_stat,par_com,com_type,reg_add,csr_prog,soc_envi,r_cdc,cdc_date,sub_n,sub_d,location,village,commune,district,pro_loc,data_c,reference,lat,long,note_co
1,0101000020887F000067AEB50F4ACE2241DDEB8822F7F23341,1,1,1,https://opendevelopmentcambodia.net/en/profiles/special-economic-zones/?feature_id=1,Industrial development,SEZ,"Agro-product as vegetables for export (Kobe Bussan co., ltd)",Thary Kampong Cham SEZ,69.0,"69,000,000",,,,,142.14,Chhorn Thary,Cambodia,,,Feb 2014__Infrastructure developing,,,,,,1931,11 Jun 2007,74,16 July 2007,Kampong Cham,,Dar,Memot,Kampong Cham,Government data,Cambodian_SEZ_Board__01.07.2009.pdf;CDC__22.04.2013.pdf;Sub_Decree_No_74__16.07.2007.pdf,11.824627,106.06696,Project location (Google)
2,0101000020887F000072AAF31206F82241BA2B0F7AB8AA3241,2,2,2,https://opendevelopmentcambodia.net/en/profiles/special-economic-zones/?feature_id=2,Industrial development,SEZ,"Garment (men's suits, sport gloves, baby clothes, lady's gloves)",Tai Seng Bavet SEZ,37.0,"37,000,000",,"7,968",2007,50,99,Ly Hong Shin,Cambodia,,,"Feb 2014__Infrastructure developing: fencing, landfill and connecting electricity into the zone.",,Private Limited Company,"National road 1, N.A Sangkat Bavet, Bavet City, Svay Rieng, Cambodia",,,24,04 Jan 2007,29,4 April 2007,Svay Rieng,,Bavet,Chantrea,Svay Rieng,Government data,CDC__22.04.2013.pdf;Cambodian_SEZ_Board__01.07.2009.pdf;Cambodia_Special_Economic_Zones__00.07.2011.pdf;Sub_Decree_No_29__04.04.2007.pdf;Lancang_Mekong_Countries_Economic_Zones_TAI_SENG_BAVET_SEZ__08.12.2020.pdf,11.064632,106.113019,Project location (Google)
3,0101000020887F0000D2917DD634FC224174989CEBE2A33241,3,3,3,https://opendevelopmentcambodia.net/en/profiles/special-economic-zones/?feature_id=3,Industrial development,SEZ,"Plastic bags,packing, and products, bicycle, garment, umbrella, light string, blinds and window covering, hanger, household and car cleaning tools, clock and craft",Manhattan (Svay Reing) SEZ,15.0,"15,000,000",,"28,051",2005,,157.01,Clement Yang,Taiwan,,,"Feb 2014__The company already built infrastucture, connected power grid from Viet Nam and fenced of the first phase of 70 ha.",,,,"He also expressed his commitment to environmental protection in his investment sector, the implementation of the principles of green energy (Green Energy) as well as green industry (Green Industry) by focusing on the treatment of wastewater from the factory. Standardize and make the river to be fresh and developed as a natural tourist area next to the border. This work, he also suggested cooperation with relevant institutions.",,2942,28 Aug 2005,135,29 November 2006,Along National road 1 at Svay Rieng Province,,Bavet,Chantrea,Svay Rieng,Government data,CDC__22.04.2013.pdf;Cambodian_SEZ_Board__01.07.2009.pdf;Cambodia_Special_Economic_Zones__00.07.2011.pdf;Sub_Decree_No_135__29.11.2006.pdf;Monthly_progress_report_Manhattan_SEZ__23.07.2021.pdf,11.048794,106.11786,Project location (Google)
4,0101000020887F00004798A9D416B21E413D09106292F03241,4,4,4,https://opendevelopmentcambodia.net/en/profiles/special-economic-zones/?feature_id=4,Industrial development,SEZ,"Garments, carton, plastic products",Goldfame Pak Shun SEZ,34.5,"34,462,510",,714,,,80,Chan Ji Kvong,Korea,,,Feb 2014__Infrastructure development: fencing,,Private Limited Company,"2, Mao Seng Tung, Kampong Pring, Setbou, S'ang, Kandal, 8410, Cambodia",,,25,04 Jan 2007,30,4 April 2007,Kandal,,Setbo,S'ang,Kandal,Government data,CDC__22.04.2013.pdf;Cambodian_SEZ_Board__01.07.2009.pdf;Cambodia_Special_Economic_Zones__00.07.2011.pdf;Sub_Decree_No_30__04.04.2007.pdf;Economic_Trade_Cooporation_Zones_Along_Belt_Road_Workshop_Series__00.02.2021.pdf;Cambodian_Economy__00.11.2010.pdf,11.228403,105.026729,Commune
5,0101000020887F0000D2BF578C24341D414EA6B7FF03E93141,5,5,5,https://opendevelopmentcambodia.net/en/profiles/special-economic-zones/?feature_id=5,Industrial development,SEZ,,Doung Chhiv Phnom Den SEZ,28.0,"28,000,000",,,,,79,Doung Chhiv,Cambodia,,,Feb 2014__Infrastructure developing: landfill and fencing,,,,,,268,20 Feb 2006,140,8 December 2006,Takeo,,Phnum Den,Kiri Vong,Takeo,Government data,IRITWG_Overview_of_the_Transport_Infrastructure_Sector_in_the_Kingdom_of_Cambodia__2015.pdf;All_SEZ_list_by_2009.pdf;CDC__22.04.2013.pdf;Cambodian_SEZ_Board__01.07.2009.pdf;Cambodia_Special_Economic_Zones__00.07.2011.pdf;Sub_Decree_No_140__08.12.2006.pdf;Cambodian_Economy__00.11.2010.pdf;Doung_Chhiv_Timex_Group__00.00.2019.pdf,10.618137,104.803196,Commune
6,0101000020887F0000C8F64C0907262341A4E7F1DC94A43241,6,6,6,https://opendevelopmentcambodia.net/en/profiles/special-economic-zones/?feature_id=6,Industrial development,SEZ,,D&M Bavet SEZ,52.3,"52,266,830",,,,,117.95,"Men Pheakdey, Chhay Noy, Dy Chendavy",Cambodia,,,Feb 2014__Infrastructure developing,,,,,,4134,01 Nov 2007,,,Svay Rieng,,Bavet,Chantrea,Svay Rieng,Secondary data,IRITWG_Overview_of_the_Transport_Infrastructure_Sector_in_the_Kingdom_of_Cambodia__2015.pdf;CDC__22.04.2013.pdf;Cambodian_SEZ_Board__01.07.2009.pdf;Cambodia_Special_Economic_Zones__00.07.2011.pdf;Cambodian_Economy__00.11.2010.pdf,11.050218,106.166866,Commune
7,0101000020887F0000B72810179F5D1841BA7FD16190D43141,7,7,7,https://opendevelopmentcambodia.net/en/profiles/special-economic-zones/?feature_id=7,Industrial development,SEZ,"Power plant of 270 MW by coal red (kampot electricity supply co., ltd.)",Kampot SEZ,15.0,"15,000,000",,200,,,145,Vinh Huor,Cambodia,,,Feb 2014__Infrastructure developing: landfilling and building Kampot Seaport.,,Private Limited Company,"Kaoh Touch, Kampot, Kampot, Cambodia",,,1947,23 May 2006,3,9 January 2007,Kampot,,Koh Touch,Kampot,Kampot,Government data,IRITWG_Overview_of_the_Transport_Infrastructure_Sector_in_the_Kingdom_of_Cambodia__2015.pdf;CDC__22.04.2013.pdf;Cambodian_SEZ_Board__01.07.2009.pdf;Cambodia_Special_Economic_Zones__00.07.2011.pdf;Sub_Decree_No_03__09.01.2007.pdf;Economic_Trade_Cooporation_Zones_Along_Belt_Road_Workshop_Series__00.02.2021.pdf;Cambodian_Economy__00.11.2010.pdf,10.569502,104.078713,Commune
8,0101000020887F0000D3ED6562F9141D4136E20F75CF5E3341,8,8,8,https://opendevelopmentcambodia.net/en/profiles/special-economic-zones/?feature_id=8,Industrial development,SEZ,"Garments, plastics, carton boxes, food processing, electrical equipment",Phnom Penh SEZ,68.0,"68,000,000",,"17,000",2006,50,350,Lim Chhiv Ho,Cambodia,,,"Feb 2014__Fencing, roads, administrative building, entrance, electricity, water, and telecommunication systems have been installed.",,Public Limited Company,"Phnom Penh Special Economic Zone, National Road 4, Kamrieng, Kantork, Por Sen Chey, Phnom Penh, Cambodia",,,268,20 Feb 2006,33,19 April 2006,Phnom Penh,,"Kantaok,Phleung Chheh Roteh,Boeng Thum",Pur SenChey,Phnom Penh,Government data,IRITWG_Overview_of_the_Transport_Infrastructure_Sector_in_the_Kingdom_of_Cambodia__2015.pdf;CDC__22.04.2013.pdf;Cambodian_SEZ_Board__01.07.2009.pdf;Phnom_Penh_SEZ.pdf;Cambodia_Special_Economic_Zones__00.07.2011.pdf;Sub_Decree_No_33__19.04.2006.pdf;Phnom_Penh_SEZ_Plc__13.01.2021.pdf;Cambodian_Economy__00.11.2010.pdf,11.48355,104.784328,Project location (Google)
9,0101000020887F00004AFF65AAFFCE0C41D6F2FB0A40123741,9,9,9,https://opendevelopmentcambodia.net/en/profiles/special-economic-zones/?feature_id=9,Industrial development,SEZ,"Jewelry products and packing, plastics, garment accessories, garment",Poi Pet O'Neang SEZ,15.0,"15,000,000",,"1,220",,,467,Van Ny,Cambodia,,,"Feb 2014__Infrastructure developing: fencing, entrance gate, electric pole.",,,,,,3412,07 Oct 2005,57,1 June 2006,Banteay Meanchey,,"Nimitt, Poipet",O'Chhrov,Banteay Meanchey,Government data,All_SEZ_list_by_2009.pdf;CDC__22.04.2013.pdf;Cambodia_Special_Economic_Zones__00.07.2011.pdf;Sub_Decree_No_57__01.06.2006.pdf;Cambodia_SEZPolicy_Shanghai__17.10.2016.pdf,13.664943,102.559502,Project location (Google)
10,0101000020887F0000594B50C18FB11041494CCC69AAA93341,10,10,11,https://opendevelopmentcambodia.net/en/profiles/special-economic-zones/?feature_id=11,Industrial development,SEZ,,Suoy Chheng SEZ,14.0,"14,000,000",,,,,100,Kao Souy Chheng,Cambodia,,,Feb 2014__Infrastructure developing,,,,,,3391,26 Nov 2002,,,Koh Kong,,Pak Khlang,Mondol Seima,Koh Kong,Secondary data,IRITWG_Overview_of_the_Transport_Infrastructure_Sector_in_the_Kingdom_of_Cambodia__2015.pdf;CDC__22.04.2013.pdf;Cambodian_SEZ_Board__01.07.2009.pdf;Cambodia_Special_Economic_Zones__00.07.2011.pdf;Cambodian_Economy__00.11.2010.pdf,11.649432,102.922469,Project location (Google)
